"module_code","group_code","semester_code","weeks","day","start","end","location_code","teaching_mode"
"YID3202F","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-TCTLT","F2F"
"YID3202F","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-TCTLT","F2F"
"YID4101","E1","AY2021-2","1-6, 8-14",3,"13:00","14:30","Y-LT1","F2F"
"YSC2253","E1","AY2021-2","1-6, 8-14",1,"18:00","19:30","Y-LT1","F2F"
"YSC2253","E1","AY2021-2","1-6, 8-14",4,"18:00","19:30","Y-LT1","F2F"
"YSS3311","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","TP-AUD01","F2F"
"YSS3311","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","TP-AUD01","F2F"
"YSS3312","E1","AY2021-2","1-6, 8-14",1,"9:00","10:30","Y-TCTLT","F2F"
"YSS3312","E1","AY2021-2","1-6, 8-14",4,"9:00","10:30","Y-TCTLT","F2F"
"YSS3313","E1","AY2021-2","1-6, 8-14",2,"9:00","10:30","Y-PgRm2","F2F"
"YSS3313","E1","AY2021-2","1-6, 8-14",5,"9:00","10:30","Y-PgRm2","F2F"
"YSS2202","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","Y-CompLab","F2F"
"YSS2202","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","Y-CompLab","F2F"
"YSS2202","E2","AY2021-2","1-6, 8-14",1,"10:30","12:00","Y-CR17","F2F"
"YSS2202","E2","AY2021-2","1-6, 8-14",4,"10:30","12:00","Y-CR17","F2F"
"YSS2202","E3","AY2021-2","1-6, 8-14",1,"16:00","17:30",NA,"REMOTE"
"YSS2202","E3","AY2021-2","1-6, 8-14",4,"16:00","17:30",NA,"REMOTE"
"YSS2236","E1","AY2021-2","1-6, 8-14",2,"9:00","10:30","ERC-ALR","F2F"
"YSS2236","E1","AY2021-2","1-6, 8-14",5,"9:00","10:30","Y-Blackbox","F2F"
"YSS2237","E1","AY2021-2","1-6, 8-14",1,"19:30","21:00","Y-GLRm1","F2F"
"YSS2237","E1","AY2021-2","1-6, 8-14",4,"19:30","21:00","Y-GLRm1","F2F"
"YSS2241","E1","AY2021-2","1-6, 8-14",2,"16:00","17:30","CAPT-AUD03","F2F"
"YSS2241","E1","AY2021-2","1-6, 8-14",5,"16:00","17:30","CAPT-AUD03","F2F"
"YSS3211","E1","AY2021-2","1-6, 8-14",1,"9:00","11:00",NA,"REMOTE"
"YSS3212","E1","AY2021-2","1-6, 8-14",1,"9:00","10:30","Y-LT1","F2F"
"YSS3212","E1","AY2021-2","1-6, 8-14",4,"9:00","10:30","Y-LT1","F2F"
"YSS3226","E1","AY2021-2","1-6, 8-14",2,"13:00","16:00","SRC-AUD02","F2F"
"YSS3255","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-Blackbox","F2F"
"YSS3255","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-Blackbox","F2F"
"YSS3255","E2","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-TCTLT","F2F"
"YSS3255","E2","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-TCTLT","F2F"
"YSS3316","E1","AY2021-2","1-6, 8-14",1,"18:00","19:30","Y-PgRm1","F2F"
"YSS3316","E1","AY2021-2","1-6, 8-14",4,"18:00","19:30","Y-PgRm1","F2F"
"YSS4101","E1","AY2021-2","1-6, 8-14",3,"13:00","14:30","Y-GLRm1","F2F"
"YSS4256","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-ELMCL","F2F"
"YSS4256","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-ELMCL","F2F"
"YHU3294","E1","AY2021-2","1-6, 8-14",1,"13:00","14:30","ERC-SR9","F2F"
"YHU3294","E1","AY2021-2","1-6, 8-14",4,"13:00","14:30","ERC-SR9","F2F"
"YHU3299","E1","AY2021-2","1-6, 8-14",2,"9:00","10:30","SRC-LT51","F2F"
"YHU3299","E1","AY2021-2","1-6, 8-14",5,"9:00","10:30","SRC-LT51","F2F"
"YHU3306","E1","AY2021-2","1-6, 8-14",1,"10:30","12:00","Y-PgRm1","F2F"
"YHU3306","E1","AY2021-2","1-6, 8-14",4,"10:30","12:00","Y-PgRm1","F2F"
"YHU3312","E1","AY2021-2","1-6, 8-14",1,"14:30","16:00","Y-GLRm1","F2F"
"YHU3312","E1","AY2021-2","1-6, 8-14",4,"14:30","16:00","Y-GLRm1","F2F"
"YHU3313","E1","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-TCTLT","F2F"
"YHU3313","E1","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-TCTLT","F2F"
"YHU3316","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","SRC-AUD02","F2F"
"YHU3316","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","SRC-AUD02","F2F"
"YHU3328","E1","AY2021-2","1-6, 8-14",3,"9:00","12:00","Y-CR17","F2F"
"YHU3333","E1","AY2021-2","1-6, 8-14",2,"18:00","19:30","ERC-SR9","F2F"
"YHU3333","E1","AY2021-2","1-6, 8-14",5,"18:00","19:30","ERC-SR9","F2F"
"YHU3336","E1","AY2021-2","1-6, 8-14",1,"16:00","17:30","Y-LT1","F2F"
"YHU3336","E1","AY2021-2","1-6, 8-14",4,"16:00","17:30","Y-LT1","F2F"
"YHU3339","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-CR18","F2F"
"YHU3339","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-CR18","F2F"
"YHU3340","E1","AY2021-2","1-6, 8-14",1,"9:00","10:30","Y-CR15","F2F"
"YHU3340","E1","AY2021-2","1-6, 8-14",4,"9:00","10:30","Y-CR15","F2F"
"YSC3239","E1","AY2021-2","1-6, 8-14",1,"9:00","10:00","Y-Blackbox","F2F"
"YSC3239","E1","AY2021-2","1-6, 8-14",4,"9:00","12:00","Y-Blackbox","F2F"
"YSS3301","E1","AY2021-2","1-6, 8-14",2,"18:00","19:30","Y-CR15","F2F"
"YSS3301","E1","AY2021-2","1-6, 8-14",5,"18:00","19:30","Y-CR15","F2F"
"YHU2228","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","ERC-SR10","F2F"
"YHU2228","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","SRC-GLR","F2F"
"YHU2244","E1","AY2021-2","1-6, 8-14",1,"18:00","19:30","Y-GLRm1","F2F"
"YHU2244","E1","AY2021-2","1-6, 8-14",4,"18:00","19:30","Y-GLRm1","F2F"
"YHU3285","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","Y-PerfHall","F2F"
"YHU3285","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","Y-PerfHall","F2F"
"YHU3295","E1","AY2021-2","1-6, 8-14",2,"13:00","14:30","Y-LT1","F2F"
"YHU3295","E1","AY2021-2","1-6, 8-14",5,"13:00","14:30","Y-LT1","F2F"
"YHU3337","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","TP-AUD01","F2F"
"YHU3337","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","CAPT-AUD03","F2F"
"YHU4212","E1","AY2021-2","1-6, 8-14",1,"9:00","12:00","Y-GLRm1","F2F"
"YHU4246","E1","AY2021-2","1-6, 8-14",2,"16:00","17:30","Y-LT1","F2F"
"YHU4246","E1","AY2021-2","1-6, 8-14",5,"16:00","17:30","Y-LT1","F2F"
"YLC1201","E1","AY2021-2","1-6, 8-14",1,"12:00","13:00","Y-PgRm1","F2F"
"YLC1201","E1","AY2021-2","1-6, 8-14",2,"12:00","13:00","Y-PgRm1","F2F"
"YLC1201","E1","AY2021-2","1-6, 8-14",4,"12:00","13:00","Y-PgRm1","F2F"
"YLC1201","E1","AY2021-2","1-6, 8-14",5,"12:00","13:00","Y-PgRm1","F2F"
"YLC1201","E2","AY2021-2","1-6, 8-14",1,"13:00","14:00","Y-PgRm2","F2F"
"YLC1201","E2","AY2021-2","1-6, 8-14",2,"13:00","14:00","Y-PgRm2","F2F"
"YLC1201","E2","AY2021-2","1-6, 8-14",4,"13:00","14:00","Y-PgRm2","F2F"
"YLC1201","E2","AY2021-2","1-6, 8-14",5,"13:00","14:00","Y-PgRm2","F2F"
"YLC2201","E1","AY2021-2","1-6, 8-14",2,"10:30","12:00","K-Chanrai","F2F"
"YLC2201","E1","AY2021-2","1-6, 8-14",4,"10:30","11:30","Y-CR16","F2F"
"YLC2201","E1","AY2021-2","1-6, 8-14",5,"10:30","12:00","K-Chanrai","F2F"
"YLC3203","E1","AY2021-2","1-6, 8-14",2,"14:30","16:00","Y-CR1","F2F"
"YLC3203","E1","AY2021-2","1-6, 8-14",4,"14:30","15:30","Y-CR1","F2F"
"YLC3203","E1","AY2021-2","1-6, 8-14",5,"14:30","16:00","Y-CR1","F2F"
"YLC3205","E1","AY2021-2","1-6, 8-14",1,"9:00","11:00","Y-CR1","F2F"
"YLC3205","E1","AY2021-2","1-6, 8-14",4,"9:00","11:00","Y-CR1","F2F"
"YLG2202","E1","AY2021-2","1-6, 8-14",1,"16:00","17:30","Y-GLRm2","F2F"
"YLG2202","E1","AY2021-2","1-6, 8-14",3,"16:00","17:00","Y-GLRm2","F2F"
"YLG2202","E1","AY2021-2","1-6, 8-14",4,"16:00","17:30","Y-GLRm2","F2F"
"YLN1201","E1","AY2021-2","1-6, 8-14",3,"18:30","20:30","Y-CR15","F2F"
"YLN1201","E2","AY2021-2","1-6, 8-14",2,"18:30","20:30","Y-Blackbox","F2F"
"YLS1201","E1","AY2021-2","1-6, 8-14",3,"9:00","10:30","Y-PgRm2","F2F"
